Obj1,Obj2,Obj3
0,0,1
0,0.058722,0.99827
0,0.12403,0.99228
0,0.19612,0.98058
0,0.27472,0.96152
0,0.35898,0.93335
0,0.44721,0.89443
0,0.53688,0.84366
0,0.6247,0.78087
0,0.70711,0.70711
0,0.78087,0.6247
0,0.84366,0.53688
0,0.89443,0.44721
0,0.93335,0.35898
0,0.96152,0.27472
0,0.98058,0.19612
0,0.99228,0.12403
0,0.99827,0.058722
0,1,0
0.058722,0,0.99827
0.062257,0.062257,0.99612
0.065938,0.13188,0.98907
0.069673,0.20902,0.97543
0.073324,0.29329,0.95321
0.076696,0.38348,0.92036
0.079556,0.47733,0.87511
0.08165,0.57155,0.8165
0.082761,0.66208,0.74485
0.082761,0.74485,0.66208
0.08165,0.8165,0.57155
0.079556,0.87511,0.47733
0.076696,0.92036,0.38348
0.073324,0.95321,0.29329
0.069673,0.97543,0.20902
0.065938,0.98907,0.13188
0.062257,0.99612,0.062257
0.058722,0.99827,0
0.12403,0,0.99228
0.13188,0.065938,0.98907
0.14003,0.14003,0.9802
0.14825,0.22237,0.96362
0.15617,0.31235,0.93704
0.1633,0.40825,0.89815
0.16903,0.50709,0.84515
0.17277,0.60471,0.77748
0.17408,0.69631,0.69631
0.17277,0.77748,0.60471
0.16903,0.84515,0.50709
0.1633,0.89815,0.40825
0.15617,0.93704,0.31235
0.14825,0.96362,0.22237
0.14003,0.9802,0.14003
0.13188,0.98907,0.065938
0.12403,0.99228,0
0.19612,0,0.98058
0.20902,0.069673,0.97543
0.22237,0.14825,0.96362
0.2357,0.2357,0.94281
0.24828,0.33104,0.91037
0.25916,0.43193,0.86387
0.26726,0.53452,0.80178
0.27161,0.63375,0.72429
0.27161,0.72429,0.63375
0.26726,0.80178,0.53452
0.25916,0.86387,0.43193
0.24828,0.91037,0.33104
0.2357,0.94281,0.2357
0.22237,0.96362,0.14825
0.20902,0.97543,0.069673
0.19612,0.98058,0
0.27472,0,0.96152
0.29329,0.073324,0.95321
0.31235,0.15617,0.93704
0.33104,0.24828,0.91037
0.34816,0.34816,0.87039
0.36214,0.45268,0.81482
0.37139,0.55709,0.74278
0.37463,0.65561,0.65561
0.37139,0.74278,0.55709
0.36214,0.81482,0.45268
0.34816,0.87039,0.34816
0.33104,0.91037,0.24828
0.31235,0.93704,0.15617
0.29329,0.95321,0.073324
0.27472,0.96152,0
0.35898,0,0.93335
0.38348,0.076696,0.92036
0.40825,0.1633,0.89815
0.43193,0.25916,0.86387
0.45268,0.36214,0.81482
0.46829,0.46829,0.74927
0.47673,0.57208,0.66742
0.47673,0.66742,0.57208
0.46829,0.74927,0.46829
0.45268,0.81482,0.36214
0.43193,0.86387,0.25916
0.40825,0.89815,0.1633
0.38348,0.92036,0.076696
0.35898,0.93335,0
0.44721,0,0.89443
0.47733,0.079556,0.87511
0.50709,0.16903,0.84515
0.53452,0.26726,0.80178
0.55709,0.37139,0.74278
0.57208,0.47673,0.66742
0.57735,0.57735,0.57735
0.57208,0.66742,0.47673
0.55709,0.74278,0.37139
0.53452,0.80178,0.26726
0.50709,0.84515,0.16903
0.47733,0.87511,0.079556
0.44721,0.89443,0
0.53688,0,0.84366
0.57155,0.08165,0.8165
0.60471,0.17277,0.77748
0.63375,0.27161,0.72429
0.65561,0.37463,0.65561
0.66742,0.47673,0.57208
0.66742,0.57208,0.47673
0.65561,0.65561,0.37463
0.63375,0.72429,0.27161
0.60471,0.77748,0.17277
0.57155,0.8165,0.08165
0.53688,0.84366,0
0.6247,0,0.78087
0.66208,0.082761,0.74485
0.69631,0.17408,0.69631
0.72429,0.27161,0.63375
0.74278,0.37139,0.55709
0.74927,0.46829,0.46829
0.74278,0.55709,0.37139
0.72429,0.63375,0.27161
0.69631,0.69631,0.17408
0.66208,0.74485,0.082761
0.6247,0.78087,0
0.70711,0,0.70711
0.74485,0.082761,0.66208
0.77748,0.17277,0.60471
0.80178,0.26726,0.53452
0.81482,0.36214,0.45268
0.81482,0.45268,0.36214
0.80178,0.53452,0.26726
0.77748,0.60471,0.17277
0.74485,0.66208,0.082761
0.70711,0.70711,0
0.78087,0,0.6247
0.8165,0.08165,0.57155
0.84515,0.16903,0.50709
0.86387,0.25916,0.43193
0.87039,0.34816,0.34816
0.86387,0.43193,0.25916
0.84515,0.50709,0.16903
0.8165,0.57155,0.08165
0.78087,0.6247,0
0.84366,0,0.53688
0.87511,0.079556,0.47733
0.89815,0.1633,0.40825
0.91037,0.24828,0.33104
0.91037,0.33104,0.24828
0.89815,0.40825,0.1633
0.87511,0.47733,0.079556
0.84366,0.53688,0
0.89443,0,0.44721
0.92036,0.076696,0.38348
0.93704,0.15617,0.31235
0.94281,0.2357,0.2357
0.93704,0.31235,0.15617
0.92036,0.38348,0.076696
0.89443,0.44721,0
0.93335,0,0.35898
0.95321,0.073324,0.29329
0.96362,0.14825,0.22237
0.96362,0.22237,0.14825
0.95321,0.29329,0.073324
0.93335,0.35898,0
0.96152,0,0.27472
0.97543,0.069673,0.20902
0.9802,0.14003,0.14003
0.97543,0.20902,0.069673
0.96152,0.27472,0
0.98058,0,0.19612
0.98907,0.065938,0.13188
0.98907,0.13188,0.065938
0.98058,0.19612,0
0.99228,0,0.12403
0.99612,0.062257,0.062257
0.99228,0.12403,0
0.99827,0,0.058722
0.99827,0.058722,0
1,0,0
