Obj1,Obj2,Obj3,Obj4
0.43866,0.36929,0.045722,0.14633
0.047465,0.52208,0.051282,0.37918
0.16083,0.67365,0.11923,0.046287
0.1089,0.51802,0.18511,0.18797
0.38336,0.24504,0.23618,0.13542
0.45231,0.031897,0.35659,0.1592
0.14136,0.5946,0.14386,0.12017
0.27609,0.64136,0.041276,0.041276
0.34782,0.041043,0.57009,0.041043
0.032663,0.032663,0.453,0.48167
0.25872,0.035299,0.67068,0.035299
0.33452,0.21606,0.41003,0.039394
0.46623,0.15204,0.25206,0.12967
0.33576,0.22531,0.20986,0.22906
0.48471,0.25079,0.22377,0.040727
0.039906,0.60405,0.19346,0.16258
0.10253,0.4471,0.1602,0.29017
0.14402,0.35169,0.35507,0.14921
0.05076,0.44805,0.26046,0.24073
0.32692,0.42982,0.048363,0.19489
0.58849,0.035302,0.032156,0.34405
0.21061,0.48932,0.24408,0.055987
0.76792,0.040685,0.14606,0.045343
0.035942,0.38396,0.24603,0.33407
0.31312,0.61761,0.034631,0.034631
0.24416,0.039722,0.039722,0.67639
0.13789,0.40612,0.41,0.045997
0.15597,0.042001,0.14025,0.66178
0.040272,0.040272,0.63635,0.28311
0.25201,0.10863,0.49911,0.14026
0.23451,0.2098,0.5022,0.053493
0.23499,0.051598,0.18541,0.52801
0.14115,0.21474,0.21563,0.42848
0.13507,0.041187,0.041187,0.78256
0.21679,0.48586,0.15407,0.14328
0.34162,0.057446,0.38865,0.21229
0.14373,0.038278,0.22819,0.58981
0.13192,0.1454,0.31656,0.40612
0.036769,0.42405,0.14116,0.39802
0.14353,0.24963,0.4481,0.15874
0.45619,0.19587,0.15128,0.19666
0.24483,0.14961,0.39243,0.21313
0.042041,0.042041,0.23445,0.68147
0.31798,0.51117,0.076651,0.094197
0.51383,0.036707,0.036707,0.41275
0.41075,0.048411,0.22918,0.31166
0.0338,0.041795,0.33884,0.58557
0.040857,0.142,0.77629,0.040857
0.27643,0.23269,0.3619,0.12898
0.33051,0.046178,0.12704,0.49626
0.58307,0.30632,0.036875,0.073734
0.11625,0.33281,0.27766,0.27327
0.68185,0.13218,0.043768,0.1422
0.30482,0.41153,0.23302,0.050626
0.28794,0.018313,0.34795,0.3458
0.12244,0.31294,0.49956,0.065055
0.14141,0.50085,0.31451,0.043232
0.13552,0.44217,0.26992,0.15239
0.27471,0.043433,0.088886,0.59297
0.041081,0.24788,0.30832,0.40272
0.13886,0.21669,0.31082,0.33363
0.56876,0.21074,0.060071,0.16043
0.042591,0.042591,0.53841,0.37641
0.12439,0.15154,0.14277,0.5813
0.30624,0.1392,0.23033,0.32423
0.86364,0.045455,0.045455,0.045455
0.22048,0.39453,0.32333,0.061648
0.41831,0.04824,0.13465,0.3988
0.04041,0.15139,0.04041,0.76779
0.046762,0.2445,0.57847,0.13027
0.31911,0.047141,0.31467,0.31907
0.032689,0.13572,0.6211,0.21049
0.046847,0.13546,0.52477,0.29292
0.50656,0.41219,0.040626,0.040626
0.36884,0.45647,0.1407,0.033987
0.36962,0.23067,0.047993,0.35171
0.56852,0.038975,0.35353,0.038975
0.22337,0.14138,0.32513,0.31012
0.050963,0.22817,0.20652,0.51435
0.26813,0.52684,0.032879,0.17215
0.61575,0.034242,0.22215,0.12786
0.037181,0.33087,0.47372,0.15823
0.051007,0.42578,0.39045,0.13276
0.052512,0.55947,0.12434,0.26367
0.34041,0.16371,0.30979,0.18609
0.15898,0.64873,0.041484,0.1508
0.38213,0.30219,0.13296,0.18271
0.69308,0.047686,0.12714,0.1321
0.056123,0.25459,0.094783,0.59451
0.33788,0.12923,0.49975,0.033139
0.44836,0.44836,0.075369,0.027921
0.37465,0.029779,0.029779,0.56579
0.030829,0.22418,0.50895,0.23603
0.26877,0.31841,0.036019,0.3768
0.17787,0.3983,0.2218,0.20202
0.17946,0.3022,0.042211,0.47613
0.26811,0.059445,0.059445,0.613
0.041585,0.23199,0.68484,0.041585
0.052203,0.517,0.29616,0.13464
0.041678,0.041678,0.76435,0.15229
0.13058,0.48006,0.035828,0.35353
0.052329,0.78305,0.1123,0.052329
0.11364,0.050672,0.6662,0.16949
0.092954,0.31625,0.1989,0.3919
0.411,0.10626,0.21738,0.26536
0.30249,0.2525,0.12257,0.32244
0.14316,0.057833,0.46503,0.33397
0.12962,0.25091,0.11946,0.50001
0.49923,0.056173,0.1397,0.3049
0.27023,0.33886,0.15751,0.2334
0.28851,0.21901,0.04578,0.4467
0.14022,0.36999,0.075801,0.41399
0.22222,0.16284,0.12521,0.48973
0.22412,0.039768,0.36637,0.36974
0.13757,0.041068,0.78029,0.041068
0.041408,0.70021,0.21698,0.041408
0.04079,0.60831,0.31055,0.040356
0.045455,0.045455,0.045455,0.86364
0.17534,0.34816,0.1541,0.32239
0.1553,0.5572,0.04478,0.24273
0.16134,0.75878,0.039936,0.039936
0.18774,0.25689,0.34074,0.21463
0.03937,0.47034,0.03937,0.45092
0.30808,0.044705,0.23276,0.41445
0.38938,0.12936,0.381,0.10025
0.24854,0.40145,0.045758,0.30426
0.40858,0.11523,0.23327,0.24292
0.55836,0.12742,0.16428,0.14994
0.45729,0.23934,0.04655,0.25682
0.30824,0.39924,0.15961,0.13291
0.22279,0.31154,0.41737,0.048302
0.049276,0.12161,0.24031,0.5888
0.36982,0.33039,0.041843,0.25794
0.15354,0.14557,0.47756,0.22333
0.14004,0.12422,0.23133,0.50441
0.65635,0.041022,0.26753,0.0351
0.23892,0.56823,0.15649,0.036352
0.13695,0.13871,0.045158,0.67918
0.050141,0.14507,0.68001,0.12478
0.41558,0.15768,0.12218,0.30456
0.06436,0.68634,0.1255,0.12381
0.038081,0.57493,0.038081,0.34891
0.24218,0.11495,0.59119,0.051674
0.043887,0.26073,0.4007,0.29468
0.5835,0.23948,0.1358,0.041214
0.045431,0.66534,0.045431,0.24379
0.038964,0.33093,0.59174,0.038369
0.46536,0.38448,0.11627,0.033892
0.57632,0.16285,0.045966,0.21486
0.035992,0.24417,0.035992,0.68384
0.42051,0.044942,0.044942,0.48961
0.27589,0.30254,0.26437,0.1572
0.13698,0.13855,0.58116,0.14331
0.21271,0.060476,0.27682,0.44999
0.037743,0.36749,0.037743,0.55703
0.57729,0.14029,0.23301,0.049409
0.45716,0.039106,0.46463,0.039106
0.24628,0.037639,0.45055,0.26553
0.073169,0.044135,0.044135,0.83856
0.42471,0.50675,0.034269,0.034269
0.77179,0.040621,0.040621,0.14697
0.12815,0.1762,0.41836,0.27729
0.033566,0.41102,0.52066,0.034752
0.14539,0.13459,0.67717,0.04285
0.68773,0.037183,0.037183,0.23791
0.48523,0.28424,0.11711,0.11342
0.045455,0.045455,0.86364,0.045455
0.50328,0.12696,0.042592,0.32717
0.20344,0.44615,0.096573,0.25383
0.67549,0.14338,0.13327,0.047861
0.12419,0.044218,0.31196,0.51963
0.31108,0.14652,0.13473,0.40766
0.043136,0.36509,0.35934,0.23244
0.59365,0.048972,0.12215,0.23523
0.13239,0.23499,0.59113,0.041482
0.48908,0.13031,0.3375,0.04311
0.78194,0.13536,0.041347,0.041347
0.039885,0.13186,0.34012,0.48813
0.037993,0.34033,0.13963,0.48205
0.37287,0.036721,0.47066,0.11975
0.13472,0.59977,0.22926,0.036254
0.045557,0.75036,0.045557,0.15852
0.049278,0.14842,0.13593,0.66638
0.39718,0.33633,0.21599,0.050507
0.40459,0.13746,0.048693,0.40925
0.12458,0.047918,0.39442,0.43308
0.31395,0.31799,0.32642,0.041642
