Obj1,Obj2
0,1
0.010204,0.99995
0.020614,0.99979
0.031235,0.99951
0.042068,0.99911
0.053116,0.99859
0.064382,0.99793
0.075868,0.99712
0.087574,0.99616
0.099504,0.99504
0.11166,0.99375
0.12403,0.99228
0.13664,0.99062
0.14946,0.98877
0.16252,0.98671
0.17579,0.98443
0.18929,0.98192
0.203,0.97918
0.21693,0.97619
0.23107,0.97294
0.24542,0.96942
0.25997,0.96562
0.27472,0.96152
0.28966,0.95713
0.30478,0.95242
0.32007,0.9474
0.33552,0.94203
0.35112,0.93633
0.36687,0.93027
0.38274,0.92386
0.39873,0.91707
0.41481,0.90991
0.43098,0.90236
0.44721,0.89443
0.4635,0.8861
0.47981,0.87737
0.49614,0.86824
0.51246,0.85871
0.52875,0.84878
0.54499,0.83844
0.56116,0.82771
0.57724,0.81658
0.5932,0.80506
0.60903,0.79315
0.6247,0.78087
0.64018,0.76822
0.65547,0.75522
0.67054,0.74187
0.68536,0.7282
0.69993,0.71421
0.71421,0.69993
0.7282,0.68536
0.74187,0.67054
0.75522,0.65547
0.76822,0.64018
0.78087,0.6247
0.79315,0.60903
0.80506,0.5932
0.81658,0.57724
0.82771,0.56116
0.83844,0.54499
0.84878,0.52875
0.85871,0.51246
0.86824,0.49614
0.87737,0.47981
0.8861,0.4635
0.89443,0.44721
0.90236,0.43098
0.90991,0.41481
0.91707,0.39873
0.92386,0.38274
0.93027,0.36687
0.93633,0.35112
0.94203,0.33552
0.9474,0.32007
0.95242,0.30478
0.95713,0.28966
0.96152,0.27472
0.96562,0.25997
0.96942,0.24542
0.97294,0.23107
0.97619,0.21693
0.97918,0.203
0.98192,0.18929
0.98443,0.17579
0.98671,0.16252
0.98877,0.14946
0.99062,0.13664
0.99228,0.12403
0.99375,0.11166
0.99504,0.099504
0.99616,0.087574
0.99712,0.075868
0.99793,0.064382
0.99859,0.053116
0.99911,0.042068
0.99951,0.031235
0.99979,0.020614
0.99995,0.010204
1,0
