Obj1,Obj2,Obj3,Obj4
0.07311,0.031636,0.11366,0.046058
0.16746,0.045606,0.035575,0.035575
0.013737,0.099352,0.10792,0.057161
0.17724,0.062888,0.043116,0.014541
0.11489,0.11251,0.013728,0.043453
0.03211,0.10066,0.039881,0.092313
0.052674,0.035546,0.093085,0.07665
0.037448,0.17594,0.037448,0.037448
0.078594,0.079327,0.079422,0.024393
0.022522,0.022522,0.048631,0.22976
0.096778,0.091588,0.018333,0.062939
0.063236,0.016972,0.063158,0.13465
0.019009,0.022578,0.20415,0.067621
0.070466,0.050422,0.035928,0.10269
0.13472,0.084976,0.052393,0.01267
0.041667,0.089235,0.022235,0.12113
0.087783,0.056898,0.08427,0.030587
0.014376,0.041564,0.046787,0.21153
0.12514,0.036931,0.028069,0.082103
0.057945,0.16171,0.011783,0.061806
0.084648,0.048942,0.059078,0.059912
0.047291,0.069505,0.17814,0.0093759
0.10741,0.029694,0.048265,0.078539
0.14374,0.066367,0.042911,0.024369
0.081348,0.074422,0.048836,0.048836
0.15232,0.045835,0.057718,0.024144
0.10287,0.068894,0.043427,0.043427
0.066224,0.071116,0.021519,0.10843
0.073615,0.10947,0.019648,0.066377
0.033637,0.070331,0.033637,0.13542
0.019255,0.11973,0.071538,0.061379
0.10529,0.026345,0.021586,0.13417
0.035231,0.08153,0.098576,0.045283
0.032559,0.032559,0.055616,0.16264
0.053128,0.055402,0.035013,0.12042
0.11025,0.0080323,0.063337,0.10672
0.14184,0.030099,0.076402,0.030099
0.092087,0.026338,0.086392,0.057757
0.026111,0.04899,0.090573,0.099932
0.10378,0.01401,0.01401,0.1946
0.05351,0.036604,0.056038,0.11603
0.033591,0.10539,0.095356,0.033591
0.062029,0.099742,0.069485,0.029421
0.068959,0.056352,0.048442,0.078355
0.023322,0.15377,0.051409,0.052174
0.062716,0.10991,0.04722,0.040295
0.17183,0.011921,0.086172,0.033396
0.055473,0.12104,0.031576,0.057056
0.047001,0.084743,0.076784,0.046223
0.1063,0.055896,0.092215,0.017922
0.067996,0.031649,0.031649,0.14702
0.089606,0.033898,0.033898,0.11051
0.11861,0.032927,0.018517,0.11429
0.1064,0.091288,0.074362,0.0097959
0.10049,0.044428,0.068354,0.044428
0.12786,0.010963,0.043516,0.10831
0.11458,0.030308,0.062046,0.056793
0.028745,0.11666,0.048864,0.071742
0.029665,0.0635,0.032145,0.1572
0.0076495,0.086804,0.11664,0.076391
0.064746,0.044872,0.073239,0.069218
0.096641,0.080767,0.08682,0.012162
0.18725,0.028957,0.053397,0.027567
0.049572,0.059486,0.047493,0.099557
0.12687,0.12571,0.033035,0.011556
0.070535,0.023244,0.074148,0.095885
0.075934,0.031858,0.0521,0.10093
0.15488,0.031152,0.031152,0.064238
0.088995,0.067134,0.063017,0.03669
0.038286,0.12721,0.05055,0.049656
0.043322,0.0397,0.12135,0.059664
0.03864,0.096821,0.03864,0.087438
0.059726,0.082699,0.029443,0.087881
0.018466,0.35086,0.018466,0.018466
0.011538,0.079709,0.098227,0.088117
0.067637,0.13207,0.038091,0.032887
0.032347,0.16168,0.032347,0.056738
0.061038,0.12333,0.060254,0.024428
0.033501,0.058013,0.052836,0.11989
0.024938,0.077947,0.12191,0.045686
0.086167,0.085618,0.10405,0.008334
0.029473,0.051579,0.04979,0.14294
0.087663,0.11278,0.033872,0.033872
0.033651,0.033651,0.033651,0.20221
0.073021,0.097551,0.036391,0.051384
0.030599,0.12695,0.030599,0.086341
0.082251,0.047032,0.012499,0.14787
0.057639,0.21183,0.011149,0.037666
0.12966,0.015101,0.050819,0.085028
0.056572,0.033849,0.15539,0.033849
0.035451,0.052076,0.094548,0.076191
0.072771,0.033923,0.033923,0.13095
0.12219,0.034301,0.078419,0.034301
0.017139,0.13379,0.11122,0.028839
0.028304,0.18546,0.028304,0.054226
0.043331,0.10579,0.020148,0.10539
0.030888,0.080219,0.063481,0.083558
0.029179,0.19888,0.040922,0.032737
0.065846,0.063852,0.065628,0.055003
0.025888,0.11436,0.11562,0.025888
0.033429,0.042465,0.18341,0.033429
0.03141,0.03141,0.14096,0.072955
0.063751,0.066854,0.091834,0.034562
0.045663,0.14418,0.055032,0.029589
0.076718,0.045124,0.082495,0.049897
0.10091,0.010747,0.07893,0.08864
0.03521,0.050726,0.15959,0.03521
0.13437,0.036573,0.055289,0.042873
0.10677,0.11328,0.035481,0.021996
0.093936,0.090687,0.04964,0.028753
0.020235,0.040543,0.11928,0.096741
0.09017,0.045048,0.037187,0.086809
0.1016,0.034926,0.095197,0.034532
0.027523,0.13079,0.093969,0.027523
0.15916,0.039293,0.041862,0.039293
0.057896,0.024495,0.078674,0.10393
0.057418,0.04943,0.11607,0.03895
0.12189,0.083199,0.03284,0.03284
0.12946,0.038824,0.038824,0.060576
0.030577,0.096617,0.071445,0.061015
0.038256,0.038256,0.063009,0.12802
0.072156,0.017306,0.066152,0.11739
0.090133,0.022116,0.099235,0.055718
0.054559,0.15385,0.029912,0.040496
0.071104,0.052436,0.1374,0.01787
0.047467,0.10289,0.047467,0.059289
0.083171,0.085232,0.013346,0.092498
0.054286,0.012957,0.1088,0.10454
0.016985,0.072063,0.087312,0.093478
0.034925,0.034925,0.11346,0.083748
0.18629,0.035896,0.035896,0.035896
0.071423,0.061581,0.11232,0.022336
0.0082653,0.1026,0.082996,0.090414
0.059163,0.02951,0.14947,0.039347
0.0082665,0.15706,0.15706,0.013562
0.034567,0.025557,0.10735,0.10664
0.035522,0.072899,0.080411,0.066543
0.031961,0.031961,0.087363,0.12032
0.036344,0.036344,0.036344,0.18325
0.030617,0.030617,0.22569,0.030617
0.045409,0.041287,0.041287,0.1448
0.018693,0.074079,0.068128,0.10896
0.091763,0.065692,0.016397,0.097796
0.048408,0.074699,0.048408,0.082169
0.033113,0.2062,0.033113,0.033113
0.030894,0.12755,0.076253,0.036464
0.06301,0.085711,0.056079,0.048139
0.094272,0.088192,0.031281,0.048016
0.034368,0.039604,0.034368,0.18509
0.035413,0.054805,0.066999,0.10168
0.19882,0.025143,0.05301,0.027324
0.087095,0.075314,0.026782,0.07118
0.040237,0.016511,0.10251,0.12302
0.059359,0.041884,0.099957,0.055483
0.092314,0.026689,0.12018,0.034644
0.084599,0.10934,0.07263,0.011875
0.04907,0.2177,0.02355,0.025103
0.036126,0.13627,0.036126,0.062859
0.10738,0.020746,0.035005,0.1164
0.079175,0.045502,0.10435,0.033223
0.030401,0.030401,0.073133,0.14505
0.035543,0.06128,0.10675,0.056264
0.10107,0.052294,0.018932,0.099739
0.047807,0.060458,0.06682,0.076715
0.03858,0.077444,0.03858,0.10816
0.042606,0.10796,0.06688,0.042606
0.053128,0.060207,0.086224,0.053128
0.062497,0.02177,0.11033,0.07306
0.084928,0.13412,0.016934,0.045036
0.053744,0.17635,0.030317,0.030317
0.046965,0.08081,0.06081,0.063715
0.036057,0.036057,0.18519,0.036057
0.024664,0.11015,0.024664,0.12533
0.10303,0.045121,0.048089,0.061159
0.057397,0.042304,0.062836,0.092461
0.034131,0.034131,0.15556,0.055744
0.050996,0.031604,0.033008,0.17199
0.11788,0.13481,0.012556,0.03149
0.018379,0.089511,0.094285,0.066661
0.059279,0.11672,0.11193,0.0064508
0.016338,0.095419,0.1881,0.016791
0.030604,0.16319,0.058411,0.032188
0.019215,0.030652,0.19093,0.062175
0.089929,0.061941,0.038446,0.065108
0.029762,0.074327,0.14618,0.029762
0.045527,0.034189,0.085011,0.0962
0.13881,0.054029,0.031776,0.046968
0.049144,0.072984,0.11254,0.029821
0.050778,0.090345,0.092513,0.028875
0.088044,0.10392,0.00936,0.080747
0.015941,0.05172,0.088227,0.12201
0.057808,0.1018,0.029309,0.072525
0.029441,0.090917,0.12624,0.029441
0.02985,0.23202,0.02985,0.02985
0.013177,0.11404,0.18632,0.013423
0.084127,0.030622,0.06681,0.076444
0.11296,0.056589,0.033519,0.059022
0.11957,0.061192,0.048813,0.034561
0.039525,0.056613,0.13282,0.039525
0.067003,0.079496,0.040597,0.066416
