Norm,Angle,Obj
0.59355,0.077031,3
0.64902,0.073134,1
0.70429,0.065722,4
0.59144,0.18413,1
0.53022,0.25541,4
0.59842,0.053302,2
0.63928,0.18799,4
0.70069,0.058907,3
0.67034,0.061228,2
0.66284,0.049278,1
0.72058,0.048987,2
0.57294,0.068758,4
0.56642,0.22894,4
0.50992,0.41157,3
0.59125,0.068884,4
0.656,0.060833,1
0.56593,0.18117,1
0.54108,0.26616,1
0.57369,0.08848,1
0.57615,0.083943,3
0.68335,0.047056,3
0.58864,0.095112,4
0.78405,0.051891,2
0.56644,0.063452,1
0.69419,0.049887,3
0.7213,0.05507,2
0.59511,0.077291,4
0.6955,0.06039,2
0.69881,0.05763,1
0.58659,0.18518,2
0.59504,0.089897,4
0.60914,0.084707,2
0.54418,0.25939,1
0.79626,0.051726,2
0.57212,0.25043,4
0.56224,0.10217,2
0.64966,0.058919,2
0.55108,0.23938,1
0.5996,0.061322,1
0.55579,0.25825,1
0.55501,0.27258,3
0.5308,0.28186,2
0.72312,0.058138,1
0.61413,0.12481,3
0.66112,0.055522,2
0.56631,0.085485,2
0.67867,0.049803,1
0.79128,0.051634,1
0.52741,0.24455,4
0.61138,0.075531,2
0.66378,0.055553,3
0.52541,0.22127,1
0.7103,0.061619,3
0.56492,0.089616,4
0.56911,0.032178,2
0.60557,0.10743,4
0.60962,0.070916,4
0.55674,0.24341,1
0.66096,0.065712,2
0.56602,0.072578,1
0.5236,0.26521,1
0.63027,0.09531,3
0.65969,0.064561,1
0.62987,0.19748,1
0.5209,0.26724,2
0.86722,0.052414,2
0.55912,0.11026,4
0.59538,0.081024,2
0.78466,0.0515,1
0.64309,0.072714,1
0.55216,0.085375,2
0.67049,0.048754,1
0.61784,0.075823,1
0.65559,0.061968,3
0.60445,0.056228,4
0.56199,0.085399,3
0.67174,0.058022,2
0.52131,0.27121,2
0.60155,0.084719,1
0.61658,0.053325,3
0.66785,0.051273,2
0.60025,0.061942,1
0.59495,0.085733,1
0.63305,0.082951,1
0.52276,0.31316,2
0.68599,0.060474,3
0.53704,0.24758,3
0.7185,0.066368,2
0.65604,0.085548,1
0.61783,0.053638,4
0.63914,0.043685,4
0.6799,0.043799,2
0.60494,0.050961,1
0.56294,0.063985,3
0.52943,0.33597,1
0.59331,0.071146,3
0.67433,0.088154,2
0.72545,0.057323,1
0.61307,0.08515,1
0.7816,0.053324,1
0.61137,0.058603,3
0.79451,0.065863,1
0.69859,0.072535,2
0.54936,0.1692,1
0.54579,0.19469,2
0.52369,0.23406,3
0.59299,0.097528,2
0.58655,0.20366,3
0.60404,0.092995,2
0.51685,0.30475,3
0.57692,0.079351,3
0.57765,0.13122,3
0.57568,0.2175,3
0.56811,0.070001,2
0.79445,0.051693,2
0.73539,0.056308,1
0.6854,0.058879,4
0.86722,0.052414,1
0.52882,0.29141,3
0.62889,0.071204,3
0.7778,0.051345,3
0.51323,0.36579,1
0.65395,0.060204,1
0.56821,0.078678,2
0.56883,0.17625,4
0.56356,0.081195,3
0.54189,0.21265,2
0.61439,0.2074,2
0.57838,0.080484,3
0.54547,0.24366,4
0.56853,0.084959,4
0.64935,0.075886,1
0.56055,0.074646,3
0.56807,0.25626,2
0.58565,0.21211,2
0.71083,0.049379,4
0.63701,0.057066,4
0.70804,0.063778,3
0.7082,0.070802,1
0.5525,0.22114,3
0.71153,0.090453,1
0.67467,0.056444,1
0.65119,0.079353,4
0.5633,0.07791,1
0.64651,0.06375,4
0.71151,0.063852,1
0.68019,0.056409,4
0.61567,0.055049,4
0.63792,0.072057,3
0.72791,0.049445,1
0.64852,0.069299,2
0.5121,0.30698,4
0.62948,0.21761,1
0.57274,0.10559,2
0.66946,0.056379,1
0.64006,0.077193,4
0.65417,0.05978,2
0.57928,0.064976,2
0.84406,0.052289,2
0.66297,0.05169,3
0.78776,0.051565,2
0.54716,0.23421,1
0.6651,0.050468,1
0.70686,0.06062,4
0.72961,0.050962,2
0.58551,0.1937,4
0.86722,0.052414,1
0.61503,0.069252,3
0.56053,0.17229,3
0.70491,0.067897,4
0.62025,0.07129,2
0.55008,0.24494,3
0.56418,0.076458,1
0.65198,0.075113,2
0.65108,0.063712,4
0.60987,0.070686,4
0.79572,0.051962,3
0.61069,0.065312,1
0.60757,0.062533,1
0.61339,0.059866,2
0.65707,0.055174,4
0.76962,0.059194,1
0.69785,0.070614,1
0.56575,0.089274,4
0.59367,0.082019,3
0.60078,0.07976,2
0.55495,0.075038,4
0.59597,0.05808,1
0.6335,0.071543,2
0.65723,0.06058,1
0.77625,0.051609,1
0.72307,0.060036,3
0.56823,0.1533,1
0.56668,0.080943,4
0.60017,0.07901,2
0.52916,0.30123,2
0.50231,0.45306,1
0.86699,0.052523,1
0.65797,0.053605,2
0.62301,0.060231,3
